CfgID,GUID,IN_E11,IN_E22,IN_ElemCount,IN_HubMaterial,IN_Root_AvgCapMaterialThickness,IN_Tip_AvgCapMaterialThickness,OUT_Blade_Cost_Total,OUT_Blade_Tip_Deflection
30-20,d8dae1f4-8e23-44f3-a028-e0092648daa3,26327.80381,75829.81076,11,Steel,86.91828022,27.01568539,159963.8476,2420.915172
28-20,a158661d-9133-4b68-a79a-278db4c3a21f,30955.47176,60577.29435,45,Steel,77.43343967,22.37468133,140160.7803,2796.091402
32-20,63f9257b-68f9-41c2-bbaa-173c6629e54b,29393.79678,40044.80823,24,Steel,79.27066727,27.75065273,147729.1392,2388.694055
32-16,0bf35494-cfc7-490f-955a-7549d326c12b,28061.80326,88511.47044,46,Steel,88.41979682,25.26955453,172324.9093,1987.930245
28-16,2c0aaf5c-4f1f-45ba-b9ac-fb5def36d0a7,29677.01356,18769.08163,18,Steel,78.98092202,23.86144106,141034.9146,2617.236418
28-20,9e760408-6434-4334-a80e-69b5970d2be4,27728.79281,73592.3966,36,Steel,96.85168941,28.96546603,167806.2003,2323.002098
28-16,488f6a4a-b457-4fa2-93d4-d761f6cab2ae,28779.75394,27705.09404,49,Steel,81.78184919,21.75582906,142974.8663,2732.265768
30-20,852dadb4-a70a-42aa-9d55-ae9f56851402,29208.92492,78426.9493,13,Steel,78.637512,29.347729,145578.8726,2417.670934
30-20,a63866b6-eec3-47f7-9a66-2728957e1ae3,29107.62385,51950.97928,11,Steel,77.31938385,27.54213496,143849.6912,2478.867083
30-16,50af0370-9309-41ee-9286-99044b53ad32,27049.79881,61216.90093,12,Steel,87.78154783,24.80086969,158876.0227,2340.7489
30-16,73289644-d3ed-44b3-9c6d-103198f1ff84,30054.3426,24382.32523,36,Steel,78.26113055,23.63187732,142939.7767,2556.064015
30-16,ca036cfc-d4a8-434c-9c1d-5290a40fd7b1,31329.27723,60219.45672,44,Steel,81.40032103,22.05602246,145107.7155,2486.502137
