CfgID,IN_ElemCount,IN_E11,IN_E22,IN_HubMaterial,IN_Root_AvgCapMaterialThickness,IN_Tip_AvgCapMaterialThickness,OUT_Blade_Cost_Total,OUT_Blade_Tip_Deflection
32-16,48,28185.29978,49873.45339,Steel,93.39262312,23.91320312,169304.15,2226.445364
28-20,13,30449.13517,50233.01927,Steel,82.72038257,23.35571614,144404.4179,2540.492985
30-20,25,29414.00303,89029.37077,Steel,86.79089159,23.89305833,158927.7465,2453.052359
28-20,30,28663.80357,45359.36816,Steel,78.3882858,24.43623129,141182.12,2800.990863
30-16,56,30636.75101,57740.11278,Steel,92.49172466,28.62032842,164107.4294,2116.46256
32-20,54,30179.54478,38169.5966,Steel,87.30380048,25.50980193,162595.026,2290.737362
32-16,13,26547.01057,73152.33771,Steel,89.21423609,21.05988885,162310.8737,2343.691662
28-20,41,29043.27503,31021.50093,Steel,84.2845229,24.31838082,153878.7636,2658.484085
28-20,36,28249.42949,67375.48115,Steel,88.56335474,29.87671026,159204.1918,2421.775418
30-20,33,27784.66102,21613.79896,Steel,78.86440849,23.69882284,144270.0707,2753.048067
32-20,12,26936.98122,47193.64868,Steel,91.84155813,21.29835002,165243.1423,2343.269504
28-20,13,30092.5109,76268.87308,Steel,86.5231211,29.11148323,157094.4754,2314.693698
32-16,30,29758.86243,29133.71434,Steel,84.53398623,21.8908889,158511.2252,2354.918484
32-20,41,29369.56257,44959.537,Steel,78.51136838,26.75411942,146800.2875,2466.403857
30-16,60,26642.95107,75504.47452,Steel,96.69362183,27.36386846,169706.4436,2261.618863
30-16,17,28130.83037,80938.44369,Steel,82.56962254,25.36708384,146779.1463,2435.447692
32-20,51,31226.82625,58017.16508,Steel,93.23368019,25.16364251,169749.6112,2139.932039
30-20,14,29547.15182,82662.19921,Steel,88.63131267,28.6047218,161944.3421,2217.328604
32-20,10,31210.83398,37106.89009,Steel,96.41449879,20.28469977,171473.9898,2006.555928
32-16,47,29650.08147,13961.74246,Steel,79.50937624,28.22470959,147940.5925,2304.088082
28-16,21,26131.78548,40620.611,Steel,92.30716015,29.07733296,161416.8426,2370.487387
32-16,19,31827.15281,36317.92187,Steel,84.80964546,29.857371,160810.6149,2017.979767
32-20,55,29969.31799,53028.38916,Steel,82.47226524,23.50486601,149604.2417,2464.846881
30-16,24,31217.03467,71226.59465,Steel,91.88164734,27.2432532,163271.4939,2097.900363
30-16,45,30713.66862,28238.39977,Steel,82.23890605,21.03721642,145222.7833,2524.393676
32-16,35,26419.38197,87159.59242,Steel,90.4026362,28.65389043,145971.1753,2414.458154
32-16,35,27116.49253,47681.55908,Steel,83.85614121,26.32421756,159200.9769,2379.458078
32-16,57,30576.17032,62186.67237,Steel,91.51243301,24.77729465,165333.62,2134.954148
32-16,36,30321.85536,43591.43674,Steel,86.28333264,25.03639901,161020.8454,2219.600556
30-20,18,31138.09691,53364.83835,Steel,95.40356451,20.12337422,167725.7741,2220.21124
28-16,57,27717.76531,51378.35401,Steel,86.25769848,21.49190268,154361.9238,2705.755009
32-20,16,29701.29942,49154.92086,Steel,84.97099219,23.54590019,159701.0758,2328.622361
30-20,15,30921.92892,64517.81184,Steel,82.1330647,24.17295722,147080.0829,2418.401806
30-16,25,26140.58527,23093.1993,Steel,92.55192706,21.59440897,162072.5054,2485.852026
28-20,31,29275.32575,21725.43561,Steel,84.30071856,26.78417801,154821.4971,2552.630879
30-16,27,28793.47922,31781.76529,Steel,79.355814,26.54645531,144438.4331,2482.403565
32-16,35,27377.84753,25702.64883,Steel,95.69231723,29.13347416,172901.6192,2071.79404
32-20,26,26296.65778,66914.98128,Steel,91.83442347,26.62002698,166785.4052,2328.629795
32-20,54,28643.31141,74182.8965,Steel,93.57121516,20.13549435,168664.9068,2378.073604
28-16,42,26155.01851,11245.18698,Steel,86.40485101,26.38263535,155623.3032,2615.475697
32-20,28,30465.18487,42636.77745,Steel,85.270895,28.33595807,161413.7257,2206.751029
32-20,48,27206.2164,33301.18379,Steel,85.15488188,20.72300568,159310.8524,2633.24689
32-16,55,26762.3462,52854.31875,Steel,86.51513164,22.90814649,160694.2597,2474.978742
32-20,32,31032.86947,36614.09603,Steel,79.81802597,24.05868296,147473.7666,2425.255905
28-16,30,27030.86238,51502.98095,Steel,87.23281642,29.75468205,157528.7406,2422.044675
32-20,58,28625.49777,16854.89893,Steel,95.44413866,24.1976625,171572.072,2238.345407
30-20,40,29884.03987,26105.89622,Steel,94.6214389,27.60208695,169460.4423,2193.412267
32-20,31,26527.04791,69436.58079,Steel,77.78958257,23.59157731,145521.3087,2742.633897
30-20,14,31348.36217,46003.65359,Steel,93.87630772,26.50236213,168440.7215,2093.192865
32-16,45,30642.21578,69888.8031,Steel,86.37207176,28.16839389,161769.5041,2131.306916
28-20,59,27189.43808,67568.37064,Steel,87.64185441,21.48091771,156136.5602,2788.199015
32-16,34,29529.24519,54829.28088,Steel,95.36053528,21.18109912,170040.9207,2158.44312
28-20,32,30052.06785,28983.53664,Steel,88.10139334,27.58905982,157994.1665,2399.984956
32-16,58,30117.05186,35162.80975,Steel,84.17879106,23.44882357,158863.5428,2329.013503
30-20,36,28230.97809,49919.28463,Steel,88.0340721,20.26230016,159091.4905,2622.840604
32-20,17,26492.4417,30835.95842,Steel,92.83833258,29.40454279,168511.0364,2192.492283
28-16,20,27322.84267,83470.84759,Steel,89.936735,28.68614619,159480.7981,2359.748863
28-20,37,31632.37856,52098.07755,Steel,81.261193,21.12813473,142726.132,2694.026497
28-16,41,31836.53184,72813.70082,Steel,89.6779797,25.5902997,158288.9237,2281.986486
30-20,50,30279.58243,83890.80701,Steel,95.54717443,22.17321327,168362.5484,2290.738224
32-16,27,27800.26451,11847.81952,Steel,83.21628246,27.83659605,156891.0166,2299.725705
32-20,37,26931.54274,32748.07468,Steel,87.81160812,28.3403209,163492.8218,2348.136243
28-20,56,27227.57395,19058.31639,Steel,81.21461712,29.45648565,144633.1531,2677.465686
28-20,58,28752.15556,45506.56247,Steel,92.34401868,28.95696032,161895.8094,2372.743522
30-20,11,26998.86375,31742.58542,Steel,80.04918906,22.39654311,144951.9236,2685.382947
32-16,42,30838.48377,29781.84737,Steel,89.63646818,25.15262173,164040.3618,2129.316305
32-16,32,31677.45902,39811.15395,Steel,95.17909453,27.7689116,172048.9377,1928.989723
30-16,33,26769.01069,76057.32322,Steel,79.05591823,29.7336026,144872.412,2512.357855
28-16,46,29332.72551,15729.04559,Steel,95.5034427,24.90444548,165570.9751,2296.816098
30-16,43,26715.3434,41770.35655,Steel,87.8188436,28.92755931,160335.5539,2361.886651
28-16,27,30303.67559,74438.63688,Steel,86.07898755,24.63988283,154895.1658,2429.708383
28-16,47,31141.1495,55840.70686,Steel,94.57470697,23.58486015,164058.4053,2269.057385
28-20,15,29686.66867,83711.94764,Steel,87.33319095,23.0237132,156026.1746,2499.668952
30-20,45,26856.87684,25358.94887,Steel,87.27154972,25.80867457,160125.2345,2546.826552
30-20,54,28694.95071,65711.09598,Steel,89.50256115,28.13643316,162468.2471,2340.880272
30-20,26,26817.41662,38390.11063,Steel,78.0012253,24.33909095,143774.145,2795.3347
28-20,59,28527.9684,56431.86519,Steel,81.34905606,25.25989647,143718.7732,2731.917052
32-20,31,26782.59997,25465.50476,Steel,77.23087088,21.34075347,144800.3806,2827.38699
32-16,34,30229.78024,47318.53551,Steel,85.61673099,22.48777676,159700.3928,2306.793094
32-20,53,31683.0819,16045.85578,Steel,89.724451,24.01032108,164021.993,2208.089725
28-20,45,30760.05391,67665.59646,Steel,96.42299034,24.49878435,166579.5204,2291.438866
30-20,12,27555.26292,36435.02355,Steel,94.77217565,21.8334899,167814.1752,2315.945624
30-20,13,29615.4003,69074.98834,Steel,93.55126136,29.66041698,168862.0953,2091.396613
30-16,27,27604.98932,21287.627,Steel,96.10412714,22.53479889,168037.751,2304.354225
28-16,20,29811.99454,39985.88122,Steel,84.49961544,23.66782872,153450.5899,2493.637761
30-16,29,29489.23628,25098.48218,Steel,77.69249777,20.59184574,141836.6127,2695.523593
30-20,51,29443.04453,69013.99627,Steel,82.89567719,28.19850861,154822.5,2437.683456
32-16,44,31075.077,32216.81829,Steel,93.92778159,23.3807899,169594.9321,2097.244778
