modelica.jturbine,modelica.ratio,modelica.rho,tl_peakPowerOutput.output,tl_integratedEnergy.output,CfgID
160662475.9,113.7205096,1.015115356,119.3245973,5207.523766,cfg1
141245398.5,80.72881343,1.340164305,77.4731946,3578.873488,cfg1
17957894.18,117.210983,1.288120278,957.0511759,36902.70884,cfg1
48758787.83,85.43660565,1.319951205,198.4605724,7981.434043,cfg1
83239860.75,87.90425392,1.400581595,131.9144478,5566.484099,cfg1
41729748.41,107.5299632,1.22376241,353.9199541,13871.37632,cfg1
101761470,99.42092235,1.242918472,137.934404,5835.667996,cfg1
82992822.67,107.9758304,1.337525369,189.84767,7771.241506,cfg1
46035722.75,107.1207732,1.257871331,320.1871934,12605.97823,cfg1
116329161.9,87.41199251,1.283406488,100.3708636,4426.351179,cfg1
134210141.7,84.85300022,1.449207058,86.33250055,3912.446394,cfg1
28662048.23,100.7117566,1.298222201,446.7342035,17338.38753,cfg1
116424447.6,117.6761092,1.17896251,165.0129547,6893.079291,cfg1
69119348.51,106.8580029,1.341048173,219.1849837,8848.757526,cfg1
83004173.74,90.77615817,1.007742046,139.7077553,5862.749142,cfg1
88011986.35,90.02065137,1.377201829,131.2272244,5551.541594,cfg1
84040078.6,113.4561696,1.231026627,205.4152328,8366.554554,cfg1
30687569.67,109.3311537,1.440183715,491.2762871,19060.51536,cfg1
74093722.57,114.7293708,1.029329661,234.7809238,9457.916741,cfg1
71359712.84,111.5067923,1.469233725,230.4124821,9283.29753,cfg1
15500381.93,97.2099345,1.45220348,762.4156079,29376.26771,cfg1
36723826.1,106.4821211,1.492472624,392.2822137,15308.57222,cfg1
70233664.68,115.1024466,1.034822825,247.9785093,9948.950607,cfg1
81835400.96,85.01771189,1.417217838,126.3970487,5352.773831,cfg1
141594888.1,107.6368177,1.429299823,120.5347019,5232.367382,cfg1
149569075.3,96.74454305,1.426412228,97.39826083,4356.320293,cfg1
147634984.4,98.34404508,1.415073381,100.9038039,4488.55818,cfg1
136310114.7,106.3546317,1.022444172,121.8159742,5274.68225,cfg1
158461345.9,110.7779164,1.138883023,115.5758458,5061.944635,cfg1
17194504.69,91.15533443,1.277137879,605.0602962,23325.43042,cfg1
72407583.69,99.86592946,1.335670663,185.8609778,7590.546489,cfg1
23756018.29,99.90340645,1.255451191,527.9573314,20416.24848,cfg1
80624042.78,111.9767443,1.323048002,208.0968636,8459.888414,cfg1
126181486.4,96.52578756,1.431398765,110.4825763,4828.005423,cfg1
56169237.94,101.3491839,1.460932785,239.7395158,9584.87811,cfg1
34828421.63,91.62953768,1.355001635,308.5149972,12095.48784,cfg1
144725476.5,115.4215874,1.130648423,133.0409838,5713.601119,cfg1
144893570.4,118.925849,1.162554923,139.8171731,5972.344741,cfg1
83543411.95,101.9205611,1.236363457,170.1931401,7024.524673,cfg1
164477906.9,86.45529447,1.274455467,77.02714408,3586.962,cfg1
40961585.69,117.8235209,1.295989687,430.1985125,16784.29279,cfg1
133919332.9,98.18803722,1.439764825,108.4386812,4760.337054,cfg1
75350080.06,92.04045384,1.416005504,155.2435718,6434.067653,cfg1
107089761.1,90.17730464,1.032146244,112.4554478,4873.401994,cfg1
82146157.98,95.69094361,1.209422383,154.4595991,6422.221304,cfg1
139990659.8,106.3960202,1.096080384,119.3328803,5184.487796,cfg1
68767940.92,87.80690505,1.013576436,154.4530101,6384.550772,cfg1
110991240.7,83.31210108,1.395231184,96.43082746,4266.678375,cfg1
